1.062204	2.155811	2.653611	4.656541	3.012454	0.160058	2.693502	-0.402856	0.443171	0.347746	0.252756	-0.169215	
1.103320	2.321889	3.492234	4.289031	2.912677	-0.105295	3.167547	-0.205464	-0.147775	0.265080	0.277187	-0.160573	
0.996336	2.455996	3.328942	4.664821	3.275994	-0.513714	2.527078	0.162011	-0.189890	-0.079504	0.287586	-0.177442	
1.138870	2.555053	3.420119	4.359593	3.518589	-0.395069	1.951288	0.257219	-0.264792	-0.391099	0.214897	-0.201183	
1.169659	2.503188	3.025143	4.602573	3.817039	-0.209865	1.532399	-0.350823	-0.684984	-0.008058	0.199585	-0.322278	
1.421484	2.430105	1.913334	4.221834	4.601682	0.653014	0.261983	-0.841252	1.650301	0.556980	-0.058136	-0.350781	
1.215674	2.529144	1.899963	3.657034	4.286638	0.252688	1.164040	-0.373099	0.920178	0.626028	0.063270	-0.012905	
1.183220	2.230777	1.634840	3.493990	4.546143	0.348627	1.772539	0.625605	0.743528	0.247015	0.139600	0.116641	
1.170496	2.632343	2.039336	4.375659	4.632614	-0.263278	1.405267	0.278652	0.558168	0.112158	0.065642	-0.020966	
1.393087	2.911725	2.546984	3.096071	4.352880	0.276082	1.532645	0.202227	0.734679	-0.153700	0.116192	-0.036119	
1.255223	2.476535	1.496421	3.191695	5.770265	0.571694	0.492727	-0.183734	1.294503	1.133812	-0.071283	-0.181669	
1.081457	2.272316	1.790921	4.262980	5.314378	0.309377	2.017575	0.469641	0.282422	0.712108	0.572050	0.134414	
1.022556	2.273085	2.425323	4.115286	4.790549	0.318917	1.008067	0.642626	0.176837	0.604493	0.236211	-0.193234	
1.111754	2.300613	2.073779	4.218969	5.454078	0.699316	1.800576	0.773793	0.292469	0.906299	0.375139	0.059499	
1.123118	2.491939	2.657925	3.880256	5.121176	0.007121	1.606359	0.635796	-0.272038	0.519273	0.308762	-0.075466	
1.861268	1.908095	0.948442	1.971065	3.873269	0.114622	0.707490	0.484913	2.302733	0.226324	-0.342155	-0.191909	
1.569457	2.330045	1.384263	1.655462	3.396367	0.738671	1.477730	0.895057	1.348907	0.162180	0.100367	0.024958	
1.516625	2.404042	1.192564	1.646703	3.881644	0.208387	1.091294	1.346081	1.257805	0.144115	-0.143248	-0.074206	
1.447819	2.913686	1.933225	1.548596	4.109526	-0.443903	0.464999	1.119460	0.914687	0.537760	-0.115224	-0.058472	
1.349418	2.859825	1.643810	1.774175	4.805221	0.174146	2.188976	1.092911	0.815510	-0.087999	0.057600	0.042510	
1.277786	1.971011	1.956567	3.859229	4.829244	-0.060555	0.380737	0.012274	0.999117	1.378267	-0.503659	-0.132771	
1.180277	2.397241	1.947888	2.762228	4.739399	0.363564	1.142195	0.144653	0.819106	1.141620	-0.226026	0.096098	
1.086365	2.065714	2.093610	3.071499	4.411596	0.082503	1.744423	1.125842	0.405548	0.587058	-0.148934	0.172390	
1.197930	2.282418	2.010682	3.302750	4.700129	-0.414496	1.456694	0.332457	0.077208	0.633980	-0.089552	0.119652	
1.267323	2.534464	2.073327	3.562070	5.198748	0.516219	0.994365	0.214406	0.594054	0.878759	-0.103320	-0.060339	
1.367525	2.115433	1.151789	3.844148	6.177881	-0.863082	0.029309	0.272722	1.539723	0.885489	-0.582407	-0.086586	
